Time,Molecular Area,Pressure 
122.001,90.099037,2.377057
122.106,90.02199,2.381664
122.3,90.041252,2.386271
122.403,89.964204,2.386271
122.503,89.964204,2.386271
122.704,89.925681,2.395484
122.901,89.81011,2.400091
123.003,89.790848,2.400091
123.2,89.713801,2.409304
123.303,89.713801,2.409304
123.5,89.59823,2.413911
123.604,89.617491,2.418518
123.8,89.559706,2.432338
123.903,89.50192,2.427731
124.1,89.50192,2.427731
124.204,89.424873,2.436944
124.4,89.386349,2.441551
124.505,89.367088,2.446158
124.7,89.309302,2.450764
124.804,89.29004,2.455371
125,89.251517,2.469191
125.108,89.193731,2.469191
125.3,89.174469,2.478405
125.407,89.097422,2.478405
125.6,89.097422,2.483011
125.704,89.001113,2.483011
125.805,89.001113,2.483011
126.007,88.943327,2.501438
126.201,88.904804,2.506045
126.307,88.86628,2.506045
126.501,88.789232,2.519865
126.604,88.769971,2.519865
126.8,88.692923,2.524472
126.904,88.673661,2.529078
127.1,88.577352,2.538292
127.204,88.55809,2.538292
127.305,88.55809,2.538292
127.504,88.461781,2.552112
127.701,88.403996,2.552112
127.805,88.384734,2.561325
128,88.34621,2.561325
128.105,88.269163,2.570539
128.206,88.269163,2.570539
128.404,88.211377,2.579752
128.601,88.172854,2.584359
128.708,88.115068,2.588965
128.9,88.057283,2.598179
129.004,87.999497,2.607392
129.2,87.960974,2.611999
129.308,87.960974,2.616606
129.501,87.92245,2.621212
129.604,87.845403,2.621212
129.8,87.826141,2.625819
129.908,87.787617,2.635032
130.008,87.787617,2.635032
130.208,87.729832,2.648852
130.4,87.652784,2.658066
130.508,87.614261,2.653459
130.7,87.537213,2.667279
130.805,87.49869,2.662673
131,87.460166,2.662673
131.105,87.440904,2.671886
131.3,87.40238,2.685706
131.405,87.344595,2.681099
131.6,87.306071,2.685706
131.705,87.267548,2.69492
131.9,87.209762,2.69492
132.005,87.171238,2.699526
132.2,87.094191,2.704133
132.305,87.036406,2.717953
132.406,87.036406,2.717953
132.608,86.920835,2.727166
132.802,86.920835,2.731773
132.909,86.882311,2.73638
133.1,86.843787,2.7502
133.208,86.805264,2.7502
133.309,86.805264,2.7502
133.505,86.708954,2.754807
133.7,86.708954,2.76402
133.809,86.689693,2.768627
134,86.631907,2.77784
134.108,86.574122,2.77784
134.208,86.574122,2.77784
134.406,86.458551,2.787053
134.601,86.400765,2.80548
134.706,86.420027,2.80548
134.9,86.34298,2.814694
135.006,86.323718,2.823907
135.2,86.285194,2.823907
135.306,86.265932,2.833121
135.5,86.208147,2.833121
135.607,86.169623,2.842334
135.8,86.073314,2.842334
135.906,86.054052,2.846941
136.006,86.054052,2.846941
136.206,85.977005,2.856154
136.4,85.957743,2.865367
136.506,85.861434,2.874581
136.7,85.880695,2.883794
136.809,85.784386,2.883794
137,85.765124,2.888401
137.106,85.688077,2.902221
137.3,85.649553,2.902221
137.409,85.61103,2.906828
137.509,85.61103,2.906828
137.71,85.553244,2.916041
137.901,85.514721,2.920648
138.006,85.456935,2.920648
138.201,85.39915,2.925254
138.309,85.379888,2.943681
138.5,85.341364,2.943681
138.609,85.283579,2.957501
138.8,85.225793,2.957501
138.906,85.168008,2.962108
139.006,85.168008,2.962108
139.206,85.071698,2.971322
139.401,85.052437,2.985142
139.506,84.994651,2.994355
139.7,84.975389,2.998962
139.806,84.917604,3.008175
139.906,84.917604,3.008175
140.106,84.821295,3.017389
140.3,84.744247,3.017389
140.406,84.744247,3.021995
140.6,84.705724,3.026602
140.706,84.647938,3.045029
140.9,84.609414,3.045029
141.01,84.551629,3.049635
141.2,84.532367,3.054242
141.306,84.436058,3.063455
